source,target,
837,44,55.210307,
843,44,55.210307,
634,621,55.548074,
866,620,55.548074,
904,15,56.187823,
830,119,56.378335,
686,659,56.755509,
178,177,56.831756,
622,244,56.881702,
381,88,57.019613,
486,88,57.019613,
209,105,57.134504,
777,16,57.528802,
823,16,57.528802,
764,143,57.859762,
916,177,57.863035,
265,71,58.111389,
854,71,58.111389,
907,71,58.111389,
659,657,58.557145,
571,26,58.734436,
810,44,58.951870,
377,103,59.866440,
379,103,59.866440,
385,103,59.866440,
386,103,59.866440,
397,103,59.866440,
406,103,59.866440,
642,273,60.278250,
234,15,60.424372,
526,156,60.750776,
598,48,61.861029,
52,50,61.926825,
483,52,61.926825,
842,44,62.784723,
914,757,63.076445,
800,16,63.477196,
637,15,64.872760,
482,115,65.287569,
915,119,65.287569,
795,268,67.001586,
147,13,67.500426,
279,13,67.500426,
280,13,67.500426,
288,13,67.500426,
292,13,67.500426,
295,13,67.500426,
324,13,67.500426,
329,13,67.500426,
712,13,67.500426,
767,13,67.500426,
869,13,67.500426,
870,13,67.500426,
871,13,67.500426,
55,53,67.536865,
919,218,69.021755,
264,237,69.100368,
699,71,69.295311,
352,48,69.731887,
424,48,69.731887,
533,48,69.731887,
546,48,69.731887,
573,48,69.731887,
574,48,69.731887,
578,48,69.731887,
579,48,69.731887,
580,48,69.731887,
581,48,69.731887,
583,48,69.731887,
584,48,69.731887,
585,48,69.731887,
586,48,69.731887,
588,48,69.731887,
591,48,69.731887,
592,48,69.731887,
593,48,69.731887,
596,48,69.731887,
597,48,69.731887,
601,48,69.731887,
602,48,69.731887,
607,48,69.731887,
846,16,71.758560,
898,16,71.758560,
545,447,71.951238,
314,51,72.603792,
148,8,72.775212,
623,8,72.775212,
708,8,72.775212,
715,8,72.775212,
716,8,72.775212,
756,188,74.176429,
199,88,74.953508,
376,88,74.953508,
384,88,74.953508,
202,48,79.377486,
603,48,79.377486,
855,48,79.377486,
881,48,79.377486,
882,48,79.377486,
883,48,79.377486,
884,48,79.377486,
885,48,79.377486,
886,48,79.377486,
887,48,79.377486,
484,52,79.564121,
495,52,79.564121,
496,52,79.564121,
663,71,84.268773,
